,Variable A,Variable B,Chi-Quadrat,p-Wert,Grad der Freiheit,Cramer's V
0,U1,U2_SQ001,23.816281433597773,0.000564490046243639,6,0.4169430060790466
1,U1,F1,1.2279674578464221,0.267802683562384,1,0.09537324175735472
2,U1,F2,0.0,1.0,1,0.0
3,U1,D1_DIFF3,1.5331901833821109,0.8207464279736741,4,0.11164658902315362
4,U1,D1_DIFF4,4.882498765635285,0.5589696228099181,6,0.1992363217782692
5,U1,D1_DIFF6,4.215288597433434,0.6475676504068475,6,0.1851233075642391
6,U1,D1_DIFF9,6.528700363546228,0.366636205003882,6,0.2303885082730436
7,U1,D2_DIFF1,8.907349795098892,0.17885609362521399,6,0.27359034878886146
8,U1,D2_DIFF2,4.663556300553427,0.5876297203316523,6,0.1979635035660524
9,U1,D2_DIFF5,7.217928073000537,0.3011628535294757,6,0.24628206949818135
10,U1,D2_DIFF7,3.095084411019333,0.6853293137165064,5,0.16127340976627688
11,U1,D2_DIFF8,6.374396846890808,0.3825818707704673,6,0.2314440754435204
12,U1,UF1,9.755397774796812,0.08247014378224475,5,0.28875503140318876
13,U1,DEMO1,4.806787299013479,0.43991244136709995,5,0.20356281964843098
14,U1,DEMO2,4.961326974911881,0.1746509753061568,3,0.2068092360813479
15,U1,DEMO3,9.26143109869258,0.23442739344988742,7,0.28255959241298323
16,U2_SQ001,U1,23.816281433597776,0.0005644900462436379,6,0.41694300607904666
17,U2_SQ001,F1,9.57876170230616,0.14354910820470418,6,0.2663715269833715
18,U2_SQ001,F2,4.875,0.4313252068291902,5,0.4330127018922193
19,U2_SQ001,D1_DIFF3,19.377285584362244,0.7315808117333783,24,0.19845585604230537
20,U2_SQ001,D1_DIFF4,35.26098857067841,0.5035475094703302,36,0.2185843482604422
21,U2_SQ001,D1_DIFF6,34.966193822845234,0.51761283526722,36,0.2176687079637759
22,U2_SQ001,D1_DIFF9,29.89841806292308,0.7531478733636612,36,0.20127782193494842
23,U2_SQ001,D2_DIFF1,31.9710650605767,0.6606940052765629,36,0.211606715502192
24,U2_SQ001,D2_DIFF2,38.49495588207614,0.35728292342923057,36,0.23219496987773272
25,U2_SQ001,D2_DIFF5,78.52813184604756,5.348350311933982e-05,36,0.3316374193839423
26,U2_SQ001,D2_DIFF7,27.571096499136043,0.5931537368549572,30,0.2152625775871699
27,U2_SQ001,D2_DIFF8,50.091893165275735,0.059438441448268486,36,0.2648711254867784
28,U2_SQ001,UF1,46.69568561888507,0.02663874808619952,30,0.28252731694228606
29,U2_SQ001,DEMO1,19.513468758536188,0.9285968017912418,30,0.18342276754167844
30,U2_SQ001,DEMO2,19.807234415393967,0.3437761934483543,18,0.23857355317411147
31,U2_SQ001,DEMO3,28.33004377841939,0.9472039484453043,42,0.20175253626295162
32,F1,U1,1.2279674578464221,0.267802683562384,1,0.09537324175735472
33,F1,U2_SQ001,9.57876170230616,0.14354910820470418,6,0.2663715269833715
34,F1,F2,0.0,1.0,0,0.0
35,F1,D1_DIFF3,16.27291020383126,0.002673992417061094,4,0.36373078362709105
36,F1,D1_DIFF4,10.563448909215037,0.10284253283520875,6,0.2930557940886048
37,F1,D1_DIFF6,13.444130528341056,0.03650092013685179,6,0.33060833960164243
38,F1,D1_DIFF9,5.531052003552004,0.47771162172562465,6,0.21205636625176447
39,F1,D2_DIFF1,7.32180728295708,0.29210902124325727,6,0.24804796369605006
40,F1,D2_DIFF2,11.383336586914877,0.07722727559060569,6,0.30928674502206444
41,F1,D2_DIFF5,8.637560386473428,0.1950106860918811,6,0.2694151834303366
42,F1,D2_DIFF7,10.08454335026164,0.07287488419899522,5,0.29110833338622333
43,F1,D2_DIFF8,4.003256695121505,0.6762356705237266,6,0.18341431940839914
44,F1,UF1,5.8045926714694165,0.3256996748275107,5,0.22273729632675413
45,F1,DEMO1,11.039258990099317,0.05060712561771991,5,0.30848991195291664
46,F1,DEMO2,2.2637157785481374,0.5195076153877276,3,0.139695351369974
47,F1,DEMO3,10.443287815601288,0.16481319106631578,7,0.3000472350113264
48,F2,U1,0.0,1.0,1,0.0
49,F2,U2_SQ001,4.874999999999999,0.4313252068291902,5,0.4330127018922193
50,F2,F1,0.0,1.0,0,0.0
51,F2,D1_DIFF3,1.2857142857142856,0.8637946115566382,4,0.23145502494313785
52,F2,D1_DIFF4,3.5624999999999996,0.6139524034608949,5,0.385275875185561
53,F2,D1_DIFF6,6.28125,0.1791058589121054,4,0.5115845482420281
54,F2,D1_DIFF9,2.7857142857142856,0.8352212624721431,6,0.34069257193462343
55,F2,D2_DIFF1,3.529861111111111,0.4733524472159495,4,0.39175530911810524
56,F2,D2_DIFF2,4.117638888888888,0.6607602464582036,6,0.4231167424928701
57,F2,D2_DIFF5,3.0155555555555553,0.6975874912716982,5,0.3620926830400072
58,F2,D2_DIFF7,2.2808333333333333,0.8090777850782396,5,0.31490739379485305
59,F2,D2_DIFF8,2.962121212121212,0.5641842064816347,4,0.3588702812826367
60,F2,UF1,6.836111111111111,0.23311705730090984,5,0.5451809077932042
61,F2,DEMO1,11.75875,0.0027965325618039788,2,0.7150174823037546
62,F2,DEMO2,4.0284226190476184,0.13342559337409218,2,0.41850783687263193
63,F2,DEMO3,7.198701298701297,0.2062771037742022,5,0.5594524224516442
64,D1_DIFF3,U1,1.5331901833821107,0.8207464279736743,4,0.11164658902315361
65,D1_DIFF3,U2_SQ001,19.37728558436224,0.7315808117333785,24,0.19845585604230537
66,D1_DIFF3,F1,16.272910203831255,0.0026739924170610966,4,0.363730783627091
67,D1_DIFF3,F2,1.2857142857142856,0.8637946115566382,4,0.23145502494313785
68,D1_DIFF3,D1_DIFF4,38.24101978848219,0.032751483875775735,24,0.27879320288807224
69,D1_DIFF3,D1_DIFF6,171.6635103664308,2.827803538730257e-24,24,0.5906856811498903
70,D1_DIFF3,D1_DIFF9,19.32589419025162,0.7343934402022619,24,0.19819251435009816
71,D1_DIFF3,D2_DIFF1,46.360199557387055,0.004006003884251924,24,0.31208232442963085
72,D1_DIFF3,D2_DIFF2,73.05248494800217,7.471056357919537e-07,24,0.3917545239478646
73,D1_DIFF3,D2_DIFF5,20.808055555555555,0.6500211366333821,24,0.209079894843186
74,D1_DIFF3,D2_DIFF7,13.457765982103204,0.8568912172149499,20,0.1681446330081948
75,D1_DIFF3,D2_DIFF8,64.47260732323232,1.4540720601824616e-05,24,0.36803077865907363
76,D1_DIFF3,UF1,27.635333676945454,0.11831672997398658,20,0.24300176601019072
77,D1_DIFF3,DEMO1,33.250771371722806,0.031662832491902444,20,0.2676959939888501
78,D1_DIFF3,DEMO2,7.552244820169348,0.8190698984872827,12,0.14731548775169948
79,D1_DIFF3,DEMO3,35.23275907899817,0.16319290402190356,28,0.27555883297197237
80,D1_DIFF4,U1,4.882498765635284,0.5589696228099184,6,0.19923632177826917
81,D1_DIFF4,U2_SQ001,35.26098857067841,0.5035475094703302,36,0.2185843482604422
82,D1_DIFF4,F1,10.563448909215037,0.10284253283520875,6,0.2930557940886048
83,D1_DIFF4,F2,3.5625,0.613952403460895,5,0.385275875185561
84,D1_DIFF4,D1_DIFF3,38.2410197884822,0.03275148387577583,24,0.2787932028880723
85,D1_DIFF4,D1_DIFF6,46.6020461098984,0.11099501395862914,36,0.2512894823564085
86,D1_DIFF4,D1_DIFF9,35.622629154639526,0.48639543668046303,36,0.21970240143427772
87,D1_DIFF4,D2_DIFF1,62.79199424147761,0.0037296813694947424,36,0.2965534851015563
88,D1_DIFF4,D2_DIFF2,50.60489181468533,0.053926022793321066,36,0.26622396327154224
89,D1_DIFF4,D2_DIFF5,42.91178315412186,0.19903378907117497,36,0.24515410792075823
90,D1_DIFF4,D2_DIFF7,23.198197894073278,0.807025040015108,30,0.19745523008823743
91,D1_DIFF4,D2_DIFF8,42.672680291942726,0.20611270119808567,36,0.24447015906279582
92,D1_DIFF4,UF1,34.54653705314454,0.25951348787744505,30,0.24301010162656772
93,D1_DIFF4,DEMO1,42.320518752425336,0.0671712749939993,30,0.27012295652556567
94,D1_DIFF4,DEMO2,14.80691244239631,0.6751798317601445,18,0.20627311742542506
95,D1_DIFF4,DEMO3,70.51752379786461,0.003813667367021458,42,0.3183053271919447
96,D1_DIFF6,U1,4.2152885974334335,0.6475676504068475,6,0.18512330756423906
97,D1_DIFF6,U2_SQ001,34.96619382284523,0.5176128352672198,36,0.21766870796377588
98,D1_DIFF6,F1,13.444130528341056,0.03650092013685179,6,0.33060833960164243
99,D1_DIFF6,F2,6.28125,0.1791058589121054,4,0.5115845482420281
100,D1_DIFF6,D1_DIFF3,171.6635103664308,2.827803538730257e-24,24,0.5906856811498903
101,D1_DIFF6,D1_DIFF4,46.6020461098984,0.11099501395862914,36,0.2512894823564085
102,D1_DIFF6,D1_DIFF9,41.850030607654666,0.23179940198902096,36,0.2381330689907589
103,D1_DIFF6,D2_DIFF1,49.23551633551634,0.06970969326257083,36,0.2625972311202837
104,D1_DIFF6,D2_DIFF2,151.56412938912942,3.9637417835979696e-16,36,0.4607327761525
105,D1_DIFF6,D2_DIFF5,41.30433501683502,0.24997543993165353,36,0.24051862444944228
106,D1_DIFF6,D2_DIFF7,25.548369931588383,0.6979690907154397,30,0.20721591845177437
107,D1_DIFF6,D2_DIFF8,105.37755968778696,9.989324312861413e-09,36,0.38417134017303517
108,D1_DIFF6,UF1,54.36445719279613,0.004185900584435295,30,0.30484536417019986
109,D1_DIFF6,DEMO1,27.577996769671746,0.5927886565340496,30,0.21805565870331706
110,D1_DIFF6,DEMO2,7.880141032971221,0.9803677545505568,18,0.15047951165550152
111,D1_DIFF6,DEMO3,18.883084890652253,0.9992029495446402,42,0.16471450784847316
112,D1_DIFF9,U1,6.528700363546229,0.36663620500388194,6,0.2303885082730436
113,D1_DIFF9,U2_SQ001,29.898418062923078,0.7531478733636614,36,0.20127782193494842
114,D1_DIFF9,F1,5.531052003552003,0.47771162172562487,6,0.21205636625176444
115,D1_DIFF9,F2,2.7857142857142856,0.8352212624721431,6,0.34069257193462343
116,D1_DIFF9,D1_DIFF3,19.32589419025162,0.7343934402022619,24,0.19819251435009816
117,D1_DIFF9,D1_DIFF4,35.622629154639526,0.48639543668046303,36,0.21970240143427772
118,D1_DIFF9,D1_DIFF6,41.850030607654666,0.23179940198902096,36,0.2381330689907589
119,D1_DIFF9,D2_DIFF1,24.513431623931623,0.926663343324796,36,0.1852904133743018
120,D1_DIFF9,D2_DIFF2,54.625083812260534,0.024032277951967135,36,0.2765966731994706
121,D1_DIFF9,D2_DIFF5,50.29292592592592,0.057223429834631884,36,0.2654020941984789
122,D1_DIFF9,D2_DIFF7,34.07857112914775,0.2777024762905356,30,0.2393217697175761
123,D1_DIFF9,D2_DIFF8,62.148175715488215,0.004361701307877664,36,0.2950292577132753
124,D1_DIFF9,UF1,36.50089154668762,0.19213331910176487,30,0.24978928400672878
125,D1_DIFF9,DEMO1,29.771122655804138,0.47741955766565414,30,0.22656019469525523
126,D1_DIFF9,DEMO2,21.80258794499112,0.2408676667924259,18,0.2503020471040084
127,D1_DIFF9,DEMO3,40.595086230324824,0.5326795915271517,42,0.2415083297102446
128,D2_DIFF1,U1,8.907349795098892,0.17885609362521399,6,0.27359034878886146
129,D2_DIFF1,U2_SQ001,31.9710650605767,0.6606940052765629,36,0.211606715502192
130,D2_DIFF1,F1,7.32180728295708,0.29210902124325727,6,0.24804796369605006
131,D2_DIFF1,F2,3.529861111111111,0.4733524472159495,4,0.39175530911810524
132,D2_DIFF1,D1_DIFF3,46.360199557387055,0.004006003884251924,24,0.31208232442963085
133,D2_DIFF1,D1_DIFF4,62.79199424147762,0.0037296813694947806,36,0.2965534851015564
134,D2_DIFF1,D1_DIFF6,49.23551633551633,0.06970969326257082,36,0.26259723112028366
135,D2_DIFF1,D1_DIFF9,24.513431623931623,0.926663343324796,36,0.1852904133743018
136,D2_DIFF1,D2_DIFF2,61.9727059170264,0.0045505956778124045,36,0.2946124689937471
137,D2_DIFF1,D2_DIFF5,34.524990285109766,0.5387655971899539,36,0.2198961757975928
